time s,power mW
1774051183.9932306,6.097560975609755
1774051183.9951713,6.341463414634146
1774051183.9966733,4.878048780487804
1774051183.9980567,5.609756097560975
1774051183.9995391,5.609756097560975
1774051184.0009685,5.121951219512194
1774051184.0024354,6.097560975609755
1774051184.0038311,5.609756097560975
1774051184.0051138,6.097560975609755
1774051184.0066454,6.341463414634146
1774051184.008122,4.878048780487804
1774051184.0094762,5.609756097560975
1774051184.0107586,6.097560975609755
1774051184.012021,6.097560975609755
1774051184.0134528,6.097560975609755
1774051184.0149708,5.121951219512194
1774051184.0163753,6.097560975609755
1774051184.0176926,5.121951219512194
1774051184.019235,5.121951219512194
1774051184.0206275,5.121951219512194
1774051184.0219755,6.097560975609755
1774051184.0234318,5.121951219512194
1774051184.0249398,4.878048780487804
1774051184.026294,6.829268292682926
1774051184.0275629,5.609756097560975
1774051184.0290558,6.097560975609755
1774051184.0306737,5.121951219512194
1774051184.0321982,4.878048780487804
1774051184.0336502,4.878048780487804
1774051184.035118,6.829268292682926
1774051184.0365984,5.609756097560975
1774051184.0379686,4.878048780487804
1774051184.0395095,6.341463414634146
1774051184.0410168,6.097560975609755
1774051184.0423336,5.121951219512194
1774051184.0437374,6.341463414634146
1774051184.045232,5.121951219512194
1774051184.0466094,5.121951219512194
1774051184.0480757,5.609756097560975
1774051184.0496154,5.121951219512194
1774051184.0509202,5.609756097560975
1774051184.052282,5.609756097560975
1774051184.05375,6.341463414634146
1774051184.0553691,5.609756097560975
1774051184.0568109,6.097560975609755
1774051184.0581062,5.121951219512194
1774051184.0594192,5.609756097560975
1774051184.060682,5.609756097560975
1774051184.0619483,5.609756097560975
1774051184.0632105,6.341463414634146
1774051184.0644712,6.097560975609755
1774051184.0659704,6.097560975609755
1774051184.0676236,3.9024390243902434
1774051184.0691454,6.097560975609755
1774051184.070628,5.121951219512194
1774051184.0719752,5.609756097560975
1774051184.0733259,6.097560975609755
1774051184.0746946,5.609756097560975
1774051184.0759926,5.609756097560975
1774051184.0773783,5.121951219512194
1774051184.0788083,6.341463414634146
1774051184.0812416,6.829268292682926
1774051184.0827572,4.878048780487804
1774051184.0842447,6.829268292682926
1774051184.0857146,5.121951219512194
1774051184.0871425,4.878048780487804
1774051184.0885463,6.829268292682926
1774051184.0900834,5.121951219512194
1774051184.0914989,4.390243902439024
1774051184.0927835,6.829268292682926
1774051184.0940557,5.609756097560975
1774051184.0953145,6.097560975609755
1774051184.096777,6.097560975609755
1774051184.098221,5.121951219512194
1774051184.0997114,6.097560975609755
1774051184.1011891,5.121951219512194
1774051184.102571,5.609756097560975
1774051184.1038826,6.097560975609755
1774051184.1051714,6.097560975609755
1774051184.106527,5.609756097560975
1774051184.1078286,5.609756097560975
1774051184.1092196,6.341463414634146
1774051184.1106482,5.609756097560975
1774051184.112024,5.121951219512194
1774051184.113396,5.609756097560975
1774051184.114867,6.341463414634146
1774051184.1164007,6.341463414634146
1774051184.117994,4.878048780487804
1774051184.11952,5.609756097560975
1774051184.1210287,4.878048780487804
1774051184.1224284,6.829268292682926
1774051184.1238298,5.609756097560975
1774051184.125268,4.878048780487804
1774051184.126761,6.097560975609755
1774051184.1282248,5.121951219512194
1774051184.1295934,4.878048780487804
1774051184.1310074,6.097560975609755
1774051184.132495,5.609756097560975
1774051184.1339562,5.121951219512194
1774051184.1354342,5.121951219512194
1774051184.1368897,5.121951219512194
1774051184.1382947,5.121951219512194
1774051184.1397805,5.121951219512194
1774051184.141241,5.121951219512194
1774051184.1427,5.121951219512194
1774051184.1440194,5.121951219512194
1774051184.1454766,6.829268292682926
1774051184.1469011,5.121951219512194
1774051184.1482685,5.609756097560975
1774051184.1497312,6.341463414634146
1774051184.1513107,5.121951219512194
1774051184.1528468,4.878048780487804
1774051184.1543612,6.097560975609755
1774051184.1556823,5.609756097560975
1774051184.1571045,5.609756097560975
1774051184.1586714,6.341463414634146
1774051184.1601655,5.121951219512194
1774051184.1616013,5.121951219512194
1774051184.1628716,6.097560975609755
1774051184.1641326,5.609756097560975
1774051184.165399,6.097560975609755
1774051184.16667,5.609756097560975
1774051184.1681406,5.121951219512194
1774051184.1696346,5.609756097560975
1774051184.171247,5.121951219512194
1774051184.1726744,5.609756097560975
1774051184.173965,6.097560975609755
1774051184.1752357,6.097560975609755
1774051184.1765056,5.609756097560975
1774051184.177766,5.609756097560975
1774051184.179267,6.341463414634146
1774051184.1807036,4.878048780487804
1774051184.1822078,5.121951219512194
1774051184.183697,6.829268292682926
1774051184.1851974,5.121951219512194
1774051184.186733,4.878048780487804
1774051184.188213,5.609756097560975
1774051184.1896284,5.121951219512194
1774051184.1911469,4.878048780487804
1774051184.1926432,5.121951219512194
1774051184.1939778,5.609756097560975
1774051184.1953616,5.121951219512194
1774051184.1968057,6.341463414634146
1774051184.1982663,5.121951219512194
1774051184.1997507,4.878048780487804
1774051184.2012434,6.341463414634146
1774051184.2026951,6.097560975609755
1774051184.2041934,4.878048780487804
1774051184.2057335,5.609756097560975
1774051184.2073262,4.878048780487804
1774051184.2089381,6.341463414634146
1774051184.2105782,5.609756097560975
1774051184.212027,6.341463414634146
1774051184.2134078,5.121951219512194
1774051184.2148428,4.878048780487804
1774051184.21624,6.097560975609755
1774051184.2176356,5.609756097560975
1774051184.2190285,5.121951219512194
1774051184.220384,5.121951219512194
1774051184.221739,6.829268292682926
1774051184.2231548,5.609756097560975
1774051184.224525,5.609756097560975
1774051184.2259128,4.878048780487804
1774051184.227314,6.829268292682926
1774051184.2286787,5.121951219512194
1774051184.2300217,5.121951219512194
1774051184.231436,5.609756097560975
1774051184.2329082,6.341463414634146
1774051184.234394,6.097560975609755
1774051184.235844,5.121951219512194
1774051184.2373471,6.097560975609755
1774051184.2388606,5.121951219512194
1774051184.2403119,5.609756097560975
1774051184.24173,5.609756097560975
1774051184.2432852,4.878048780487804
1774051184.2447424,6.097560975609755
1774051184.2460752,5.121951219512194
1774051184.247392,6.097560975609755
1774051184.248717,5.609756097560975
1774051184.2500408,6.341463414634146
1774051184.251356,6.097560975609755
1774051184.2526643,6.097560975609755
1774051184.2539856,6.341463414634146
1774051184.2552922,5.609756097560975
1774051184.2566855,6.341463414634146
1774051184.2580416,5.609756097560975
1774051184.259391,5.609756097560975
1774051184.2608364,5.121951219512194
1774051184.2622912,6.829268292682926
1774051184.2636876,5.121951219512194
1774051184.2662776,3.170731707317073
1774051184.2677646,6.097560975609755
1774051184.2691336,5.121951219512194
1774051184.2706256,5.609756097560975
1774051184.2720191,6.341463414634146
1774051184.2733815,5.121951219512194
1774051184.274747,5.609756097560975
1774051184.2761035,5.609756097560975
1774051184.2774525,6.341463414634146
1774051184.2788837,5.121951219512194
1774051184.28033,5.121951219512194
1774051184.2818127,5.121951219512194
1774051184.2834284,5.121951219512194
1774051184.2849674,4.878048780487804
1774051184.2864318,6.341463414634146
1774051184.287906,6.097560975609755
1774051184.2894216,4.878048780487804
1774051184.290931,5.609756097560975
1774051184.2923927,5.121951219512194
1774051184.293932,5.609756097560975
1774051184.2954912,5.121951219512194
1774051184.2970452,4.878048780487804
1774051184.2986178,6.097560975609755
1774051184.300032,4.878048780487804
1774051184.301352,6.097560975609755
1774051184.3027232,6.097560975609755
1774051184.3042204,5.121951219512194
1774051184.306339,4.878048780487804
1774051184.307913,4.390243902439024
1774051184.3095071,6.341463414634146
1774051184.310996,4.878048780487804
1774051184.3125186,6.097560975609755
1774051184.3139982,4.878048780487804
1774051184.3155324,4.878048780487804
1774051184.3169603,6.341463414634146
1774051184.318355,5.121951219512194
1774051184.3198829,5.121951219512194
1774051184.321352,6.341463414634146
1774051184.322895,6.097560975609755
1774051184.324412,5.121951219512194
1774051184.3259697,5.121951219512194
1774051184.3274512,4.878048780487804
1774051184.3289156,6.341463414634146
1774051184.3304453,5.609756097560975
1774051184.332003,4.390243902439024
1774051184.3334281,6.097560975609755
1774051184.334979,5.121951219512194
1774051184.3365924,5.609756097560975
1774051184.3381104,4.878048780487804
1774051184.3396204,4.878048780487804
1774051184.341095,6.097560975609755
1774051184.34268,5.609756097560975
1774051184.3441794,6.097560975609755
1774051184.3457136,5.121951219512194
1774051184.3473504,4.878048780487804
1774051184.3488932,5.121951219512194
1774051184.3504584,4.878048780487804
1774051184.3519804,6.829268292682926
1774051184.3534205,6.097560975609755
1774051184.3548334,5.121951219512194
1774051184.3562465,6.341463414634146
1774051184.3577328,5.609756097560975
1774051184.3592355,4.878048780487804
1774051184.3606203,6.341463414634146
1774051184.3619807,5.121951219512194
1774051184.3633285,5.121951219512194
1774051184.3646963,5.609756097560975
1774051184.3661542,6.097560975609755
1774051184.3676295,5.609756097560975
1774051184.3690076,4.878048780487804
1774051184.3703568,6.341463414634146
1774051184.3717299,5.121951219512194
1774051184.373151,5.121951219512194
1774051184.3747132,5.609756097560975
1774051184.376302,4.878048780487804
1774051184.3779075,4.878048780487804
1774051184.37941,6.097560975609755
1774051184.3809097,4.878048780487804
1774051184.3824484,6.341463414634146
1774051184.3840053,5.121951219512194
1774051184.3855443,4.878048780487804
1774051184.3870928,5.609756097560975
1774051184.3885186,4.878048780487804
1774051184.3899426,6.097560975609755
1774051184.3914418,5.121951219512194
1774051184.392975,4.878048780487804
1774051184.3943732,6.341463414634146
1774051184.3958466,5.121951219512194
1774051184.3973546,4.878048780487804
1774051184.3989203,6.829268292682926
1774051184.4004874,5.609756097560975
1774051184.4020183,5.121951219512194
1774051184.4035473,5.121951219512194
1774051184.4049888,4.878048780487804
1774051184.4064443,6.829268292682926
1774051184.4079866,5.121951219512194
1774051184.4094703,4.878048780487804
1774051184.4109323,6.829268292682926
1774051184.4122403,5.121951219512194
1774051184.4135203,5.609756097560975
1774051184.41481,5.121951219512194
1774051184.4161916,6.829268292682926
1774051184.417539,5.609756097560975
1774051184.4188273,5.609756097560975
1774051184.4201083,5.609756097560975
1774051184.4214349,5.609756097560975
1774051184.4228005,6.829268292682926
1774051184.4241543,5.609756097560975
1774051184.425532,5.121951219512194
1774051184.4269354,5.121951219512194
1774051184.4286005,6.341463414634146
